name,price,score
Hotel Medicis,193,7.8
H10 Urquinaona Plaza,176,9.2
Ramblas Hotel Powered By Vincci Hoteles,234,8.7
Hotel Catalonia Barcelona Plaza,342,7.6
Hotel Denit Barcelona,157,9.1
TWO Hotel Barcelona by Axel,248,8.8
Exe Cristal Palace,219,7.8
Hotel Sant AgustÍ,257,7.9
Capri by Fraser Barcelona,209,8.8
Innside By Melia Barcelona Apolo,231,9.1
Leonardo Hotel Barcelona Las Ramblas,204,8.5
Hotel Best 4 Barcelona,225,8.3
Catalonia Passeig De Gracia 4 Sup,223,9.5
Atenea Rekord Suites,297,8.3
Vincci Gala,224,9.2
Hotel Ciutat Vella,322,8.1
Novotel Barcelona City,287,8.6
Labtwentytwo Barcelona A Tribute Portfolio Hotel,256,8.6
Arc La Rambla,226,8.7
Catalonia Sagrada Familia,228,7.8
Hotel Condado,210,8.6
Grums Hotel & Spa,411,8.6
Hotel Barcelona Century,381,8.5
Hotel Serhs Rivoli Rambla,259,8.6
Serhs Carlit Boutique Hotel,228,8.1
Hotel Flor Parks,398,8.5
Monument Hotel,333,9.4
Smartr Barcelona Ramblas,281,7.2
Palermo Barcelona,208,6.8
Hesperia Barcelona Del Mar,316,8.2
Occidental Atenea Mar,285,8.5
Hotel Gotico,230,8.3
Ikonik Ramblas,264,8.4
Icon Bcn,238,9.3
Hotel SB Diagonal Zero Barcelona,229,8.0
Hotel Praktik Vinoteca,192,9.0
Belagua,161,6.9
Hostal Las Flores Ramblas,310,8.4
Hotel America Barcelona,483,8.7
Majestic Hotel & Spa Barcelona,281,9.2
Hotel Best Aranea,235,8.2
Hotel Concordia,389,8.3
Hotel Serhs Del Port,222,8.7
Catalonia La Maquinista,201,8.8
Vincci Mae,194,9.0
Cat. Barcelona Plaza,193,8.2
ibis Styles Barcelona Centre,202,9.2
Seventy Barcelona,181,9.8
NH Barcelona Eixample,163,8.2
Hotel Barcelona Center,377,9.2
Olivia Plaza,322,9.2
Hg City Suites Barcelona Apartments,203,9.3
Occidental Diagonal 414,202,9.2
Hotel Miramar,371,8.9
Grusapartments,334,9.3
Som Nit Triomf,226,8.2
Aparthotel Atenea Barcelona,199,8.3
Hotel Cortes Rambla,317,7.5
Hostal Aslyp 114,258,9.2
Eurohotel Diagonal Port,342,7.0
Best Western Alfa Aeropuerto,203,8.8
Hotel Exe Laietana Palace,184,7.4
Caledonian,299,8.0
Arc House Barcelona,269,7.9
May Ramblas,289,8.2
Arya,269,9.2
Yurbban Trafalgar Hotel,242,9.6
Hotel Lleó,228,7.9
Bon Moustache,196,8.2
Cosmo Apartments Sants,201,8.2
Ventura Plaja I Apartment Barcelona,182,7.2
Hotel Madanis,296,8.3
Mosaic by Ona Hotels,221,8.8
Apartments Sixtyfour,193,9.5
Ramblas Hotel Barcelona,189,7.3
Meliá Barcelona Sarrià,542,8.4
Exe Plaza Catalunya,238,8.5
Laumon,222,8.4
Ikonik Anglí,217,8.2
Grand Hotel Central,212,9.3
Cram Hotel,252,8.5
Room Mate Carla,230,9.1
Room Mate Anna,180,9.4
Chic&Basic Habana Hoose,155,9.2
1881 Barcelona Gran Rosellón,201,8.4
Hotel Catalonia Rigoletto,180,8.4
Hotel Granvía,427,9.4
Casa Pince,398,9.1
The Corner Hotel,268,9.6
Hotel Exe Mitre,302,8.1
Hotel Moderno,288,7.6
Malda Singular Hotel,321,9.5
Aparthotel Senator Barcelona,292,7.1
Bcn Urbany Hotels Bonavista,274,7.4
Hotel Casa Fuster,259,9.3
Mercer House Boria Bcn,240,8.8
Hotel chic&basic Born Boutique,186,8.6
Hotel Market,168,8.0
